Protein,community_DC,community_CC,community_BC,community_EC,community_PageRank
YEL076C-A,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YER085C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YER189W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YER190W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YFL064C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YFL065C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YFL067W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YFL068W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YGL032C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YGL231C,0.5587719298245615,1.060808892227087,0.0020721641818900603,0.10813518717196757,0.020024861790996225
YGR150C,0.5988529014844803,1.0685793520436095,0.0026926158975600504,0.13318065311622737,0.030752937452106454
YGR296W,0.6986944104447165,1.0604908103592314,0.004341782839385521,0.10256283890781058,0.013012341597842952
YHL028W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YHL044W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YHL049C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YHL050C,0.696078431372549,1.20781835338301,0.004448031294269025,0.16598332318364156,0.017511601919866525
YHR177W,0.5575438596491228,1.0059654344193818,0.0021851732359338804,0.08469303085945257,0.020492178487730994
YHR213W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YHR213W-A,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YHR214W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YHR218W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
